previous_frame,current_frame
2182297,2182298
2182301,2182302
2182302,2182303
2182323,2182324
2182325,2182326
2182326,2182327
2182327,2182328
2182328,2182329
2182330,2182331
2182331,2182332
2182333,2182334
2182335,2182336
2182336,2182337
2182337,2182338
2182408,2182409
2182411,2182412
2182457,2182458
2182458,2182459
2182463,2182464
2182464,2182465
2182466,2182467
2182467,2182468
2182483,2182484
2182511,2182512
2210146,2210147
2210148,2210149
2210201,2210202
2210202,2210203
2210294,2210295
2210295,2210296
2210444,2210445
2210445,2210446
2210564,2210565
2210568,2210569
2210772,2210773
2210773,2210774
2210776,2210777
2210778,2210779
2211068,2211069
2211069,2211070
2211381,2211382
2211382,2211383
2211419,2211420
2211420,2211421
2211438,2211439
2211439,2211440
2211474,2211475
2211475,2211476
2211537,2211538
2211538,2211539
2211560,2211561
2211562,2211563
2212024,2212025
2212025,2212026
2212118,2212119
2212119,2212120
2212121,2212122
2212123,2212124
2212275,2212276
2212280,2212281
2212289,2212290
2212292,2212293
2212293,2212294
2212294,2212295
2212499,2212500
2212519,2212520
2212688,2212689
2212690,2212691
2212691,2212692
2212694,2212695
2212737,2212738
2212738,2212739
2212745,2212746
2212747,2212748
2212749,2212750
2212750,2212751
2212751,2212752
2212754,2212755
2212755,2212756
2212768,2212769
2212770,2212771
2212771,2212772
2212778,2212779
2212779,2212780
2212973,2212974
2212975,2212976
2212977,2212978
2212980,2212981
2212982,2212983
2212983,2212984
2213628,2213629
2213629,2213630
2213803,2213804
2213804,2213805
2213866,2213867
2213867,2213868
2222066,2222067
2224724,2224725
2224736,2224737
2224753,2224754
2224754,2224755
2225075,2225076
2225076,2225077
2225098,2225099
2225168,2225169
2225374,2225375
2225375,2225376
2225477,2225478
2226072,2226073
2226081,2226082
2226162,2226163
2226208,2226209
2228903,2228904
2228973,2228974
2230078,2230079
2230549,2230550
2230604,2230605
2230871,2230872
2231074,2231075
2369743,2369744
2369751,2369752
2369773,2369774
2369828,2369829
2369866,2369867
2370332,2370333
2370334,2370335
2370336,2370337
2370339,2370340
2370341,2370342
2370342,2370343
2370519,2370520
2370550,2370551
2370552,2370553
2370553,2370554
2370600,2370601
2370601,2370602
2370786,2370787
2370789,2370790
2370790,2370791
2370791,2370792
2370793,2370794
2370806,2370807
2370807,2370808
2370808,2370809
2370816,2370817
2370817,2370818
2370889,2370890
2370890,2370891
2370892,2370893
2370897,2370898
2370898,2370899
2370901,2370902
2370902,2370903
2370903,2370904
2370924,2370925
2370928,2370929
2370953,2370954
2370954,2370955
2370955,2370956
2370956,2370957
2370965,2370966
2370968,2370969
2370970,2370971
2370971,2370972
2370972,2370973
2370995,2370996
2370998,2370999
2371199,2371200
2371200,2371201
2371201,2371202
2371203,2371204
2371303,2371304
2371397,2371398
2371738,2371739
2371739,2371740
2371741,2371742
2371759,2371760
2371784,2371785
2371825,2371826
2371827,2371828
2371829,2371830
2371846,2371847
2371850,2371851
2371868,2371869
2371870,2371871
2371874,2371875
2371875,2371876
2371883,2371884
2371887,2371888
2371898,2371899
2371902,2371903
2371903,2371904
2371904,2371905
2371927,2371928
2371928,2371929
2372005,2372006
2372006,2372007
2372041,2372042
2372042,2372043
2372045,2372046
2372046,2372047
2372056,2372057
2372057,2372058
2372129,2372130
2372130,2372131
2372154,2372155
2372155,2372156
2372163,2372164
2372164,2372165
2372166,2372167
2372175,2372176
2372179,2372180
2372254,2372255
2372271,2372272
2372276,2372277
2372278,2372279
2372309,2372310
2372310,2372311
2372332,2372333
2372375,2372376
2372376,2372377
2372389,2372390
2372390,2372391
2372418,2372419
2372422,2372423
2372425,2372426
2372426,2372427
2372745,2372746
2372746,2372747
2372748,2372749
2372749,2372750
2372750,2372751
2372753,2372754
2372754,2372755
2372755,2372756
2372766,2372767
2372777,2372778
2372778,2372779
2372781,2372782
2372782,2372783
2372827,2372828
2372829,2372830
2372835,2372836
2372836,2372837
2372859,2372860
2372860,2372861
2372898,2372899
2372899,2372900
2372954,2372955
2374248,2374249
2374251,2374252
2374255,2374256
2374256,2374257
2374257,2374258
2374258,2374259
2374260,2374261
2374273,2374274
2374274,2374275
2374332,2374333
2374335,2374336
2374336,2374337
2374485,2374486
2374492,2374493
2374493,2374494
2374511,2374512
2374515,2374516
2374565,2374566
2374569,2374570
2375928,2375929
2375941,2375942
2375957,2375958
2375959,2375960
2375968,2375969
2375972,2375973
2375974,2375975
2375978,2375979
2375979,2375980
2375986,2375987
2375992,2375993
